seed,mode,popsize,maxEvals,crossover,mutation,bestFitness,foundOptimal,evaluations,elapsedMillis
1000,0,100,20000,0.600000,0.010000,3800.000000,true,20000,132
1001,0,100,20000,0.600000,0.010000,3800.000000,true,20000,143
1002,0,100,20000,0.600000,0.010000,3800.000000,true,20000,126
1003,0,100,20000,0.600000,0.010000,3800.000000,true,20000,127
1004,0,100,20000,0.600000,0.010000,3800.000000,true,20000,136
1005,0,100,20000,0.600000,0.010000,3800.000000,true,20000,128
1006,0,100,20000,0.600000,0.010000,3800.000000,true,20000,132
1007,0,100,20000,0.600000,0.010000,3800.000000,true,20000,126
1008,0,100,20000,0.600000,0.010000,3800.000000,true,20000,138
1009,0,100,20000,0.600000,0.010000,3800.000000,true,20000,117
1010,0,100,20000,0.600000,0.010000,3800.000000,true,20000,127
1011,0,100,20000,0.600000,0.010000,3800.000000,true,20000,135
1012,0,100,20000,0.600000,0.010000,3800.000000,true,20000,113
1013,0,100,20000,0.600000,0.010000,3800.000000,true,20000,114
1014,0,100,20000,0.600000,0.010000,3800.000000,true,20000,116
1015,0,100,20000,0.600000,0.010000,3800.000000,true,20000,123
1016,0,100,20000,0.600000,0.010000,3800.000000,true,20000,119
1017,0,100,20000,0.600000,0.010000,3800.000000,true,20000,123
1018,0,100,20000,0.600000,0.010000,3800.000000,true,20000,125
1019,0,100,20000,0.600000,0.010000,3800.000000,true,20000,129
1020,0,100,20000,0.600000,0.010000,3800.000000,true,20000,119
1021,0,100,20000,0.600000,0.010000,3800.000000,true,20000,126
1022,0,100,20000,0.600000,0.010000,3800.000000,true,20000,133
1023,0,100,20000,0.600000,0.010000,3800.000000,true,20000,116
1024,0,100,20000,0.600000,0.010000,3800.000000,true,20000,117
1025,0,100,20000,0.600000,0.010000,3800.000000,true,20000,117
1026,0,100,20000,0.600000,0.010000,3800.000000,true,20000,120
1027,0,100,20000,0.600000,0.010000,3700.000000,false,20000,143
1028,0,100,20000,0.600000,0.010000,3800.000000,true,20000,117
1029,0,100,20000,0.600000,0.010000,3800.000000,true,20000,128
1000,0,100,20000,0.600000,0.020000,3800.000000,true,20000,117
1001,0,100,20000,0.600000,0.020000,3800.000000,true,20000,114
1002,0,100,20000,0.600000,0.020000,3800.000000,true,20000,117
1003,0,100,20000,0.600000,0.020000,3800.000000,true,20000,123
1004,0,100,20000,0.600000,0.020000,3800.000000,true,20000,144
1005,0,100,20000,0.600000,0.020000,3800.000000,true,20000,119
1006,0,100,20000,0.600000,0.020000,3800.000000,true,20000,117
1007,0,100,20000,0.600000,0.020000,3800.000000,true,20000,118
1008,0,100,20000,0.600000,0.020000,3800.000000,true,20000,119
1009,0,100,20000,0.600000,0.020000,3800.000000,true,20000,133
1010,0,100,20000,0.600000,0.020000,3800.000000,true,20000,118
1011,0,100,20000,0.600000,0.020000,3800.000000,true,20000,115
1012,0,100,20000,0.600000,0.020000,3800.000000,true,20000,119
1013,0,100,20000,0.600000,0.020000,3800.000000,true,20000,114
1014,0,100,20000,0.600000,0.020000,3800.000000,true,20000,114
1015,0,100,20000,0.600000,0.020000,3800.000000,true,20000,126
1016,0,100,20000,0.600000,0.020000,3800.000000,true,20000,121
1017,0,100,20000,0.600000,0.020000,3800.000000,true,20000,123
1018,0,100,20000,0.600000,0.020000,3800.000000,true,20000,125
1019,0,100,20000,0.600000,0.020000,3800.000000,true,20000,122
1020,0,100,20000,0.600000,0.020000,3800.000000,true,20000,127
1021,0,100,20000,0.600000,0.020000,3800.000000,true,20000,146
1022,0,100,20000,0.600000,0.020000,3800.000000,true,20000,134
1023,0,100,20000,0.600000,0.020000,3800.000000,true,20000,150
1024,0,100,20000,0.600000,0.020000,3800.000000,true,20000,140
1025,0,100,20000,0.600000,0.020000,3800.000000,true,20000,135
1026,0,100,20000,0.600000,0.020000,3800.000000,true,20000,140
1027,0,100,20000,0.600000,0.020000,3800.000000,true,20000,141
1028,0,100,20000,0.600000,0.020000,3800.000000,true,20000,135
1029,0,100,20000,0.600000,0.020000,3800.000000,true,20000,158
1000,0,100,20000,0.600000,0.050000,3800.000000,true,20000,139
1001,0,100,20000,0.600000,0.050000,3800.000000,true,20000,139
1002,0,100,20000,0.600000,0.050000,3800.000000,true,20000,137
1003,0,100,20000,0.600000,0.050000,3800.000000,true,20000,130
1004,0,100,20000,0.600000,0.050000,3800.000000,true,20000,161
1005,0,100,20000,0.600000,0.050000,3800.000000,true,20000,145
1006,0,100,20000,0.600000,0.050000,3800.000000,true,20000,143
1007,0,100,20000,0.600000,0.050000,3800.000000,true,20000,159
1008,0,100,20000,0.600000,0.050000,3800.000000,true,20000,124
1009,0,100,20000,0.600000,0.050000,3800.000000,true,20000,121
1010,0,100,20000,0.600000,0.050000,3800.000000,true,20000,118
1011,0,100,20000,0.600000,0.050000,3800.000000,true,20000,114
1012,0,100,20000,0.600000,0.050000,3800.000000,true,20000,113
1013,0,100,20000,0.600000,0.050000,3800.000000,true,20000,113
1014,0,100,20000,0.600000,0.050000,3800.000000,true,20000,116
1015,0,100,20000,0.600000,0.050000,3800.000000,true,20000,127
1016,0,100,20000,0.600000,0.050000,3800.000000,true,20000,120
1017,0,100,20000,0.600000,0.050000,3800.000000,true,20000,124
1018,0,100,20000,0.600000,0.050000,3800.000000,true,20000,122
1019,0,100,20000,0.600000,0.050000,3800.000000,true,20000,118
1020,0,100,20000,0.600000,0.050000,3800.000000,true,20000,126
1021,0,100,20000,0.600000,0.050000,3800.000000,true,20000,130
1022,0,100,20000,0.600000,0.050000,3800.000000,true,20000,129
1023,0,100,20000,0.600000,0.050000,3800.000000,true,20000,121
1024,0,100,20000,0.600000,0.050000,3800.000000,true,20000,115
1025,0,100,20000,0.600000,0.050000,3800.000000,true,20000,120
1026,0,100,20000,0.600000,0.050000,3800.000000,true,20000,116
1027,0,100,20000,0.600000,0.050000,3800.000000,true,20000,117
1028,0,100,20000,0.600000,0.050000,3800.000000,true,20000,116
1029,0,100,20000,0.600000,0.050000,3800.000000,true,20000,126
1000,0,100,20000,0.600000,0.100000,3800.000000,true,20000,124
1001,0,100,20000,0.600000,0.100000,3800.000000,true,20000,133
1002,0,100,20000,0.600000,0.100000,3800.000000,true,20000,123
1003,0,100,20000,0.600000,0.100000,3800.000000,true,20000,134
1004,0,100,20000,0.600000,0.100000,3800.000000,true,20000,117
1005,0,100,20000,0.600000,0.100000,3800.000000,true,20000,133
1006,0,100,20000,0.600000,0.100000,3800.000000,true,20000,121
1007,0,100,20000,0.600000,0.100000,3800.000000,true,20000,133
1008,0,100,20000,0.600000,0.100000,3800.000000,true,20000,147
1009,0,100,20000,0.600000,0.100000,3800.000000,true,20000,133
1010,0,100,20000,0.600000,0.100000,3800.000000,true,20000,134
1011,0,100,20000,0.600000,0.100000,3800.000000,true,20000,136
1012,0,100,20000,0.600000,0.100000,3800.000000,true,20000,161
1013,0,100,20000,0.600000,0.100000,3800.000000,true,20000,136
1014,0,100,20000,0.600000,0.100000,3800.000000,true,20000,126
1015,0,100,20000,0.600000,0.100000,3800.000000,true,20000,118
1016,0,100,20000,0.600000,0.100000,3800.000000,true,20000,130
1017,0,100,20000,0.600000,0.100000,3800.000000,true,20000,132
1018,0,100,20000,0.600000,0.100000,3800.000000,true,20000,120
1019,0,100,20000,0.600000,0.100000,3800.000000,true,20000,124
1020,0,100,20000,0.600000,0.100000,3800.000000,true,20000,116
1021,0,100,20000,0.600000,0.100000,3800.000000,true,20000,115
1022,0,100,20000,0.600000,0.100000,3800.000000,true,20000,128
1023,0,100,20000,0.600000,0.100000,3800.000000,true,20000,118
1024,0,100,20000,0.600000,0.100000,3800.000000,true,20000,114
1025,0,100,20000,0.600000,0.100000,3800.000000,true,20000,114
1026,0,100,20000,0.600000,0.100000,3800.000000,true,20000,123
1027,0,100,20000,0.600000,0.100000,3800.000000,true,20000,116
1028,0,100,20000,0.600000,0.100000,3800.000000,true,20000,117
1029,0,100,20000,0.600000,0.100000,3800.000000,true,20000,114
1000,0,100,20000,0.700000,0.010000,3800.000000,true,20000,116
1001,0,100,20000,0.700000,0.010000,3800.000000,true,20000,115
1002,0,100,20000,0.700000,0.010000,3800.000000,true,20000,115
