,bestFitness,bestFitness,foundOptimal,elapsedMillis,elapsedMillis
,mean,std,mean,mean,std
mutation,,,,,
0.01,3795.0,21.83090993894994,0.95,41.12,4.407230301421279
0.02,3797.6666666666665,15.121212222763079,0.9766666666666667,40.96666666666667,4.018213827490232
0.03,3799.0,9.966499068325357,0.99,40.123333333333335,3.602505940646994
0.04,3799.6666666666665,5.77350269189626,0.9966666666666667,40.43,3.58906272409082
0.05,3799.6666666666665,5.77350269189626,0.9966666666666667,40.55,3.2939845852949166
0.06,3800.0,0.0,1.0,40.77,3.689055493589463
0.07,3800.0,0.0,1.0,40.53,3.5133429373344307
0.08,3800.0,0.0,1.0,40.72,3.19723961209099
0.09,3800.0,0.0,1.0,41.54333333333334,3.7032195459591843
0.1,3800.0,0.0,1.0,41.223333333333336,3.790516535721856
