,evaluations,evaluations,elapsedMillis,elapsedMillis
,mean,std,mean,std
mutation,,,,
0.01,866.9233333333333,3812.392470872078,7.726666666666667,24.788306841650336
0.02,245.76333333333332,763.7398176204719,4.596666666666667,11.65820317314422
0.03,151.07333333333332,296.45358893120107,3.6766666666666667,7.953804051218056
0.04,129.04,196.9541779892591,3.4066666666666667,7.183776469944107
0.05,129.56333333333333,197.05660016295192,3.5866666666666664,7.708906950846634
0.06,122.74,103.20605942647522,3.3966666666666665,6.960422436212039
0.07,118.98333333333333,66.25669440946417,3.39,6.877176153005307
0.08,115.34333333333333,46.847137620488596,3.236666666666667,6.387225091549745
0.09,112.72666666666667,38.58914826001824,3.1233333333333335,6.194839978839947
0.1,111.35,33.83810808139882,3.14,6.109403903288088
